PROJECT	EXCEPTION	TYPE	ORIGIN	HANDLERS	AUTOCOMPLETE	EMPTY
38	java.lang.Throwable	Checked	Java	false	false
39	java.io.IOException	Checked	Java	false	false
40	java.lang.Throwable	Checked	Java	false	false
41	java.lang.Throwable	Checked	Java	false	false
42	java.lang.Throwable	Checked	Java	false	false
43	java.lang.Exception	Checked	Java	false	false
44	java.lang.Exception	Checked	Java	false	false
45	java.lang.Exception	Checked	Java	false	false
46	java.lang.Throwable	Checked	Java	false	false
47	java.lang.Throwable	Checked	Java	false	false
48	java.lang.Throwable	Checked	Java	false	false
49	java.io.IOException	Checked	Java	false	false
50	java.lang.Throwable	Checked	Java	false	false
51	org.springframework.web.socket.server.HandshakeFailureException	Unchecked	System	false	false
52	java.lang.Throwable	Checked	Java	false	false
53	java.lang.Exception	Checked	Java	false	true
54	java.lang.Exception	Checked	Java	false	true
55	java.lang.Exception	Checked	Java	false	false
56	java.lang.UnsupportedOperationException	Unchecked	Java	false	false
57	java.lang.Exception	Checked	Java	false	false
58	java.lang.Throwable	Checked	Java	false	true
59	java.lang.Exception	Checked	Java	false	false
60	java.lang.Exception	Checked	Java	false	false
61	java.lang.Exception	Checked	Java	false	false
62	java.lang.Exception	Checked	Java	false	false
63	java.lang.Exception	Checked	Java	false	false
64	javax.servlet.ServletException	Checked	Library	false	false
65	java.io.IOException	Checked	Java	false	false
66	javax.servlet.ServletException	Checked	Library	false	false
67	java.io.IOException	Checked	Java	false	false
68	java.lang.Exception	Checked	Java	false	false
69	java.lang.Exception	Checked	Java	false	false
70	java.lang.Exception	Checked	Java	false	false
71	java.lang.Exception	Checked	Java	false	false
72	java.lang.Exception	Checked	Java	false	false
73	java.lang.Exception	Checked	Java	false	false
74	java.lang.Exception	Checked	Java	false	false
75	java.lang.Exception	Checked	Java	false	false
76	java.lang.Exception	Checked	Java	false	false
77	java.lang.Exception	Checked	Java	false	false
78	java.lang.Throwable	Checked	Java	false	false
79	java.lang.Throwable	Checked	Java	false	false
80	java.io.IOException	Checked	Java	false	false
81	java.lang.Throwable	Checked	Java	false	false
82	java.lang.Throwable	Checked	Java	false	false
83	java.lang.Throwable	Checked	Java	false	false
84	java.lang.Throwable	Checked	Java	false	false
85	org.springframework.web.socket.handler.SessionLimitExceededException	Unchecked	System	false	false
86	java.lang.Throwable	Checked	Java	false	false
87	java.io.IOException	Checked	Java	false	true
88	java.lang.Throwable	Checked	Java	false	false
89	org.springframework.web.socket.handler.SessionLimitExceededException	Unchecked	System	false	false
90	java.lang.Exception	Checked	Java	false	false
91	java.lang.Exception	Checked	Java	false	false
92	java.lang.Exception	Checked	Java	false	false
93	java.lang.Throwable	Checked	Java	false	false
94	java.lang.Throwable	Checked	Java	false	false
95	java.lang.Throwable	Checked	Java	false	true
96	java.lang.Throwable	Checked	Java	false	false
97	java.lang.Throwable	Checked	Java	false	false
98	java.lang.Throwable	Checked	Java	false	false
99	java.io.IOException	Checked	Java	false	false
100	java.io.IOException	Checked	Java	false	true
101	org.springframework.web.socket.handler.SessionLimitExceededException	Unchecked	System	false	true
102	java.lang.Throwable	Checked	Java	false	false
103	java.lang.Throwable	Checked	Java	false	false
104	java.lang.Throwable	Checked	Java	false	false
105	java.lang.Throwable	Checked	Java	false	false
106	java.lang.Throwable	Checked	Java	false	true
107	java.lang.Throwable	Checked	Java	false	false
108	java.io.IOException	Checked	Java	false	true
109	java.lang.Throwable	Checked	Java	false	false
110	java.lang.Throwable	Checked	Java	false	false
111	java.lang.Throwable	Checked	Java	false	false
112	java.net.UnknownHostException	Checked	Java	false	false
113	java.lang.Exception	Checked	Java	false	false
114	java.lang.Exception	Checked	Java	false	false
115	org.springframework.beans.BeansException	Unchecked	System	false	false
116	org.springframework.core.convert.ConversionException	Unchecked	System	false	false
117	org.springframework.core.convert.ConversionException	Unchecked	System	false	false
118	java.lang.Throwable	Checked	Java	false	false
119	java.lang.Throwable	Checked	Java	false	false
120	java.lang.Throwable	Checked	Java	false	false
121	java.lang.Throwable	Checked	Java	false	false
122	java.lang.Throwable	Checked	Java	false	false
123	java.lang.Throwable	Checked	Java	false	false
124	java.io.IOException	Checked	Java	false	false
125	org.springframework.beans.factory.NoSuchBeanDefinitionException	Unchecked	System	false	false
126	org.springframework.beans.factory.NoSuchBeanDefinitionException	Unchecked	System	false	false
127	org.springframework.beans.factory.NoSuchBeanDefinitionException	Unchecked	System	false	false
128	org.springframework.beans.factory.NoSuchBeanDefinitionException	Unchecked	System	false	true
129	org.springframework.beans.factory.NoSuchBeanDefinitionException	Unchecked	System	false	true
130	org.springframework.beans.factory.NoSuchBeanDefinitionException	Unchecked	System	false	true
131	org.springframework.beans.factory.NoSuchBeanDefinitionException	Unchecked	System	false	false
